year,region,theme,album_count,sample_artists,hover_text,bubble_size
2021,Ontario,Experimental & Abstract,4,"Bernice, Elliot Maginot, Dorothea Paas","<b>2021 | Ontario</b><br><b>Theme:</b> Experimental & Abstract<br><b>Albums:</b> 4<br><b>Artists:</b> Bernice, Elliot Maginot, Dorothea Paas",32
2021,Ontario,Identity & Heritage,4,"Leanne Betasamosake Simpson, NYSSA, Julian Taylor","<b>2021 | Ontario</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 4<br><b>Artists:</b> Leanne Betasamosake Simpson, NYSSA, Julian Taylor",32
2021,Ontario,Introspection & Philosophy,4,"Kathleen Edwards, Thanya Iyer, Mustafa","<b>2021 | Ontario</b><br><b>Theme:</b> Introspection & Philosophy<br><b>Albums:</b> 4<br><b>Artists:</b> Kathleen Edwards, Thanya Iyer, Mustafa",32
2021,Ontario,Love & Relationships,2,"Rochelle Jordan, Savannah Ré","<b>2021 | Ontario</b><br><b>Theme:</b> Love & Relationships<br><b>Albums:</b> 2<br><b>Artists:</b> Rochelle Jordan, Savannah Ré",16
2021,Ontario,Place & Landscape,2,"Daniel Lanois, The Weather Station","<b>2021 | Ontario</b><br><b>Theme:</b> Place & Landscape<br><b>Albums:</b> 2<br><b>Artists:</b> Daniel Lanois, The Weather Station",16
2021,Ontario,Social Commentary,6,"Clairmont The Second, DijahSB, LAL","<b>2021 | Ontario</b><br><b>Theme:</b> Social Commentary<br><b>Albums:</b> 6<br><b>Artists:</b> Clairmont The Second, DijahSB, LAL",48
2021,Prince Edward Island,Identity & Heritage,1,Russell Louder,<b>2021 | Prince Edward Island</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 1<br><b>Artists:</b> Russell Louder,10
2021,Quebec,Experimental & Abstract,4,"Big Brave, CFCF, Yves Jarvis","<b>2021 | Quebec</b><br><b>Theme:</b> Experimental & Abstract<br><b>Albums:</b> 4<br><b>Artists:</b> Big Brave, CFCF, Yves Jarvis",32
2021,Quebec,Identity & Heritage,2,"Laura Niquay, Allison Russell","<b>2021 | Quebec</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 2<br><b>Artists:</b> Laura Niquay, Allison Russell",16
2021,Quebec,Love & Relationships,4,"Charlotte Cardin, Helena Deland, Dominique Fils-Aimé","<b>2021 | Quebec</b><br><b>Theme:</b> Love & Relationships<br><b>Albums:</b> 4<br><b>Artists:</b> Charlotte Cardin, Helena Deland, Dominique Fils-Aimé",32
2021,Quebec,Place & Landscape,3,"The Besnard Lakes, Thierry Larose, Klô Pelgag","<b>2021 | Quebec</b><br><b>Theme:</b> Place & Landscape<br><b>Albums:</b> 3<br><b>Artists:</b> The Besnard Lakes, Thierry Larose, Klô Pelgag",24
2022,Alberta,Identity & Heritage,1,Orville Peck,<b>2022 | Alberta</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 1<br><b>Artists:</b> Orville Peck,10
2022,British Columbia,Introspection & Philosophy,1,Destroyer,<b>2022 | British Columbia</b><br><b>Theme:</b> Introspection & Philosophy<br><b>Albums:</b> 1<br><b>Artists:</b> Destroyer,10
2022,British Columbia,Social Commentary,1,Snotty Nose Rez Kids,<b>2022 | British Columbia</b><br><b>Theme:</b> Social Commentary<br><b>Albums:</b> 1<br><b>Artists:</b> Snotty Nose Rez Kids,10
2022,New Brunswick,Identity & Heritage,1,Lisa Leblanc,<b>2022 | New Brunswick</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 1<br><b>Artists:</b> Lisa Leblanc,10
